directors,popularity,stars,title,writers
Sam Mendes,"
                    197
      (","
        ,
,, ,, ,            ,
, »
    ","American Beauty ,            ","
        ,
,    "
Sergio Leone,,"
        ,
,, ,, ,            ,
, »
    ","Once Upon a Time in America ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
"Lee Unkrich,Adrian Molina","
                    527
      (","
        ,
,, ,, ,            ,
, »
    ","Coco ,            ","
        ,
, (original story by), , (original story by)            ,
, »
    "
Makoto Shinkai,"
                    580
      (","
        ,
,, ,, ,            ,
, »
    ","Your Name. ,            ","
        ,
, (based on his novel), , (screenplay)            ,
, »
    "
James Cameron,"
                    522
      (","
        ,
,, ,, ,            ,
, »
    ","Aliens ,            ","
        ,
, (story by), , (story by)            ,
, »
    "
Mel Gibson,"
                    517
      (","
        ,
,, ,, ,            ,
, »
    ","Braveheart ,            ","
        ,
,    "
Christopher Nolan,"
                    199
      (","
        ,
,, ,, ,            ,
, »
    ","The Dark Knight Rises ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
,,,"Witness for the Prosecution ,            ",
Chan-wook Park,"
                    338
      (","
        ,
,, ,, ,            ,
, »
    ","Oldboy ,            ","
        ,
, (story), , (comic)            ,
, »
    "
Stanley Kubrick,"
                    1,121
      (","
        ,
,, ,, ,            ,
, »
    ","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Hayao Miyazaki,"
                    972
      (","
        ,
,, ,, ,            ,
, »
    ","Princess Mononoke ,            ","
        ,
,, , (adapted by: English version)    "
Billy Wilder,,"
        ,
,, ,, ,            ,
, »
    ","Sunset Blvd. ,            ","
        ,
,, ,            ,
, »
    "
"Bob Persichetti,Peter Ramsey,1 more credit","
                    202
      (","
        ,
,, ,, ,            ,
, »
    ","Spider-Man: Into the Spider-Verse ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Stanley Kubrick,"
                    123
      (","
        ,
,, ,, ,            ,
, »
    ","The Shining ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
Andrew Stanton,"
                    956
      (","
        ,
,, ,, ,            ,
, »
    ","WALL·E ,            ","
        ,
, (original story by), , (original story by)            ,
, »
    "
Stanley Kubrick,,"
        ,
,, ,, ,            ,
, »
    ","Paths of Glory ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
"Anthony Russo,Joe Russo","
                    48
      (","
        ,
,, ,, ,            ,
, »
    ","Avengers: Endgame ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Quentin Tarantino,"
                    245
      (","
        ,
,, ,, ,            ,
, »
    ","Django Unchained ,            ","
        ,
,    "
,,,"The Lives of Others ,            ",
Christopher Nolan,"
                    403
      (","
        ,
,, ,, ,            ,
, »
    ","Memento ,            ","
        ,
, (screenplay), , (short story ""Memento Mori"")    "
Sam Mendes,"
                    10
      (","
        ,
,, ,, ,            ,
, »
    ","1917 ,            ","
        ,
,, ,    "
"Anthony Russo,Joe Russo","
                    191
      (","
        ,
,, ,, ,            ,
, »
    ","Avengers: Infinity War ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Charles Chaplin,,"
        ,
,, ,, ,            ,
, »
    ","The Great Dictator ,            ","
        ,
,    "
Steven Spielberg,"
                    355
      (","
        ,
,, ,, ,            ,
, »
    ","Raiders of the Lost Ark ,            ","
        ,
, (screenplay by), , (story by)            ,
, »
    "
Ridley Scott,"
                    236
      (","
        ,
,, ,, ,            ,
, »
    ","Alien ,            ","
        ,
, (screenplay by), , (story by)            ,
, »
    "
Francis Ford Coppola,"
                    319
      (","
        ,
,, ,, ,            ,
, »
    ","Apocalypse Now ,            ","
        ,
,, , (as Francis Coppola)            ,
, »
    "
Alfred Hitchcock,"
                    1,164
      (","
        ,
,, ,, ,            ,
, »
    ","Rear Window ,            ","
        ,
, (screenplay), , (based on the short story by)    "
Giuseppe Tornatore,"
                    1,825
      (","
        ,
,, ,, ,            ,
, »
    ","Cinema Paradiso ,            ","
        ,
, (story), , (screenplay)            ,
, »
    "
Sergio Leone,"
                    660
      (","
        ,
,, ,, ,            ,
, »
    ","Once Upon a Time in the West ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Todd Phillips,"
                    14
      (","
        ,
,, ,, ,            ,
, »
    ","Joker ,            ","
        ,
,, ,            ,
, »
    "
Damien Chazelle,"
                    315
      (","
        ,
,, ,, ,            ,
, »
    ","Whiplash ,            ","
        ,
,    "
"Olivier Nakache,Éric Toledano","
                    700
      (","
        ,
,, ,, ,            ,
, »
    ","The Intouchables ,            ","
        ,
,, , (adapted from his autobiographical tale Le Second Souffle)            ,
, »
    "
Michael Curtiz,"
                    742
      (","
        ,
,, ,, ,            ,
, »
    ","Casablanca ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Isao Takahata,,"
        ,
,, ,, ,            ,
, »
    ","Grave of the Fireflies ,            ","
        ,
, (novel), ,    "
,,,"City Lights ,            ",
Christopher Nolan,"
                    272
      (","
        ,
,, ,, ,            ,
, »
    ","The Prestige ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Martin Scorsese,"
                    224
      (","
        ,
,, ,, ,            ,
, »
    ","The Departed ,            ","
        ,
, (screenplay), ,            ,
, »
    "
Ridley Scott,"
                    172
      (","
        ,
,, ,, ,            ,
, »
    ","Gladiator ,            ","
        ,
, (story), , (screenplay)            ,
, »
    "
,,,"Modern Times ,            ",
Alfred Hitchcock,"
                    505
      (","
        ,
,, ,, ,            ,
, »
    ","Psycho ,            ","
        ,
, (screenplay by), , (based on the novel by)    "
Robert Zemeckis,"
                    186
      (","
        ,
,, ,, ,            ,
, »
    ","Back to the Future ,            ","
        ,
,, ,    "
Roman Polanski,"
                    380
      (","
        ,
,, ,, ,            ,
, »
    ","The Pianist ,            ","
        ,
, (screenplay), , (book)    "
James Cameron,"
                    314
      (","
        ,
,, ,, ,            ,
, »
    ","Terminator 2: Judgment Day ,            ","
        ,
,, ,    "
Tony Kaye,"
                    477
      (","
        ,
,, ,, ,            ,
, »
    ","American History X ,            ","
        ,
,    "
Bryan Singer,"
                    473
      (","
        ,
,, ,, ,            ,
, »
    ","The Usual Suspects ,            ","
        ,
,    "
,,,"Harakiri ,            ",
Luc Besson,"
                    254
      (","
        ,
,, ,, ,            ,
, »
    ","Léon: The Professional ,            ","
        ,
,    "
"Roger Allers,Rob Minkoff","
                    276
      (","
        ,
,, ,, ,            ,
, »
    ","The Lion King ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
Frank Darabont,"
                    253
      (","
        ,
,, ,, ,            ,
, »
    ","The Green Mile ,            ","
        ,
, (novel), , (screenplay)    "
Hayao Miyazaki,"
                    394
      (","
        ,
,, ,, ,            ,
, »
    ","Spirited Away ,            ","
        ,
,    "
Christopher Nolan,"
                    119
      (","
        ,
,, ,, ,            ,
, »
    ","Interstellar ,            ","
        ,
,, ,    "
Steven Spielberg,"
                    286
      (","
        ,
,, ,, ,            ,
, »
    ","Saving Private Ryan ,            ","
        ,
,    "
George Lucas,"
                    262
      (","
        ,
,, ,, ,            ,
, »
    ","Star Wars: Episode IV - A New Hope ,            ","
        ,
,    "
Jonathan Demme,"
                    171
      (","
        ,
,, ,, ,            ,
, »
    ","The Silence of the Lambs ,            ","
        ,
, (novel), , (screenplay)    "
Frank Capra,"
                    1,614
      (","
        ,
,, ,, ,            ,
, »
    ","It's a Wonderful Life ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Bong Joon Ho,"
                    1
                ","
        ,
,, ,, ,            ,
, »
    ","Parasite ,            ","
        ,
, (story), , (screenplay)            ,
, »
    "
David Fincher,"
                    201
      (","
        ,
,, ,, ,            ,
, »
    ","Se7en ,            ","
        ,
,    "
Roberto Benigni,"
                    486
      (","
        ,
,, ,, ,            ,
, »
    ","Life Is Beautiful ,            ","
        ,
, (story and screenplay by), , (story and screenplay by)    "
Milos Forman,"
                    401
      (","
        ,
,, ,, ,            ,
, »
    ","One Flew Over the Cuckoo's Nest ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
"Fernando Meirelles,Kátia Lund","
                    679
      (","
        ,
,, ,, ,            ,
, »
    ","City of God ,            ","
        ,
, (novel), , (screenplay)    "
,,,"Seven Samurai ,            ",
Irvin Kershner,"
                    834
      (","
        ,
,, ,, ,            ,
, »
    ","Star Wars: Episode V - The Empire Strikes Back ,            ","
        ,
, (screenplay by), , (screenplay by)            ,
, »
    "
