directors,popularity,stars,title,writers
Alejandro G. Iñárritu,"
                    2,998
      (","
        ,
,, ,, ,            ,
, »
    ","Amores Perros ,            ","
        ,
, (as Guillermo Arriaga Jordán)    "
François Truffaut,,"
        ,
,, ,, ,            ,
, »
    ","The 400 Blows ,            ","
        ,
, (scenario), , (adaptation) (as M. Moussy)            ,
, »
    "
Mathieu Kassovitz,,"
        ,
,, ,, ,            ,
, »
    ","La Haine ,            ","
        ,
,    "
Tom McCarthy,"
                    589
      (","
        ,
,, ,, ,            ,
, »
    ","Spotlight ,            ","
        ,
,, ,    "
Peter Weir,"
                    1,006
      (","
        ,
,, ,, ,            ,
, »
    ","Dead Poets Society ,            ","
        ,
,    "
Hayao Miyazaki,"
                    2,803
      (","
        ,
,, ,, ,            ,
, »
    ","Nausicaä of the Valley of the Wind ,            ","
        ,
, (based on the manga by), , (screenplay by)            ,
, »
    "
David Yates,"
                    325
      (","
        ,
,, ,, ,            ,
, »
    ","Harry Potter and the Deathly Hallows: Part 2 ,            ","
        ,
, (screenplay), , (novel)    "
,,,"Andrei Rublev ,            ",
Rakeysh Omprakash Mehra,,"
        ,
,, ,, ,            ,
, »
    ","Rang De Basanti ,            ","
        ,
, (screenplay), , (dialogue)            ,
, »
    "
William Wyler,"
                    2,070
      (","
        ,
,, ,, ,            ,
, »
    ","Ben-Hur ,            ","
        ,
, (novel) (as General Lew Wallace), , (screenplay)    "
Ron Howard,"
                    1,094
      (","
        ,
,, ,, ,            ,
, »
    ","Rush ,            ","
        ,
,    "
James Mangold,"
                    339
      (","
        ,
,, ,, ,            ,
, »
    ","Logan ,            ","
        ,
, (story by), , (screenplay by)            ,
, »
    "
Clint Eastwood,"
                    1,031
      (","
        ,
,, ,, ,            ,
, »
    ","Million Dollar Baby ,            ","
        ,
, (screenplay), , (stories)    "
Lasse Hallström,,"
        ,
,, ,, ,            ,
, »
    ","Hachi: A Dog's Tale ,            ","
        ,
, (screenplay), , (motion picture ""Hachiko monogatari"")    "
Oliver Stone,"
                    504
      (","
        ,
,, ,, ,            ,
, »
    ","Platoon ,            ","
        ,
,    "
George Miller,"
                    230
      (","
        ,
,, ,, ,            ,
, »
    ","Mad Max: Fury Road ,            ","
        ,
,, ,            ,
, »
    "
Stanley Kubrick,"
                    1,922
      (","
        ,
,, ,, ,            ,
, »
    ","Barry Lyndon ,            ","
        ,
, (written for the screen by), , (novel)    "
,,,"The Passion of Joan of Arc ,            ",
Rob Reiner,"
                    353
      (","
        ,
,, ,, ,            ,
, »
    ","Stand by Me ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
Terry Jones,"
                    1,908
      (","
        ,
,, ,, ,            ,
, »
    ","Monty Python's Life of Brian ,            ","
        ,
,, ,            ,
, »
    "
Henri-Georges Clouzot,,"
        ,
,, ,, ,            ,
, »
    ","The Wages of Fear ,            ","
        ,
, (novel), , (adaptation) (as H.G. Clouzot)            ,
, »
    "
Sean Penn,"
                    423
      (","
        ,
,, ,, ,            ,
, »
    ","Into the Wild ,            ","
        ,
, (screenplay), , (book)    "
Steve McQueen,"
                    416
      (","
        ,
,, ,, ,            ,
, »
    ","12 Years a Slave ,            ","
        ,
, (screenplay by), , (based on ""Twelve Years a Slave"" by)    "
Sidney Lumet,"
                    2,416
      (","
        ,
,, ,, ,            ,
, »
    ","Network ,            ","
        ,
,    "
Denis Villeneuve,"
                    226
      (","
        ,
,, ,, ,            ,
, »
    ","Prisoners ,            ","
        ,
,    "
